school_Yer,Race,Prekindergarden,kindergarden,first_grade,second_grade,third_grade,forth_grade,fifth_grade,sixth_grade,seventh_grade,eighth_grade,ninth_grade,tenth_grade,eleventh_grade,twelvth_grade
1999,Total,751,3397,3684,3656,3691,3686,3604,3564,3541,3497,3935,3415,3034,2782
1999,White,354,2010,2159,2175,2219,2261,2240,2231,2243,2254,2438,2214,2045,1920
1999,Black,181,590,679,660,666,644,622,610,595,564,695,537,432,380
1999,Hispanic,180,627,662,636,620,594,556,538,522,499,598,474,382,321
1999,Asian/Pacific Islander,27,132,142,142,143,145,143,144,138,138,156,151,141,131
1999,American Indian/Alaska Native,9,39,43,43,43,43,43,42,43,41,47,40,33,29
2001,Total,865,3379,3614,3593,3653,3695,3727,3769,3720,3616,4012,3528,3174,2863
2001,White,404,1955,2073,2063,2114,2178,2228,2285,2282,2248,2408,2247,2108,1943
2001,Black,192,558,630,642,665,661,655,658,646,602,723,555,453,393
2001,Hispanic,225,683,717,696,680,658,645,627,593,566,667,526,427,354
2001,Asian/Pacific Islander,33,144,152,152,152,153,153,154,153,155,165,157,151,142
2001,American Indian/Alaska Native,11,40,42,41,43,44,45,46,46,44,49,42,35,31
2003,Total,950,3503,3613,3544,3611,3619,3685,3772,3841,3809,4190,3675,3277,3046
2003,White,437,1975,2022,2006,2045,2069,2127,2203,2271,2297,2442,2255,2106,2017
2003,Black,198,588,619,600,633,641,654,677,681,652,774,600,487,430
2003,Hispanic,264,748,767,735,730,706,699,686,679,650,740,602,487,414
2003,Asian/Pacific Islander,38,151,161,162,161,160,160,160,161,162,178,172,158,150
2003,American Indian/Alaska Native,13,42,44,42,42,43,45,47,48,47,56,46,39,35
2005,Total,1036,3619,3691,3606,3586,3578,3633,3670,3777,3802,4287,3866,3454,3180
2005,White,465,1989,2023,1992,1991,2014,2051,2083,2158,2212,2418,2304,2153,2035
2005,Black,214,603,630,616,612,603,623,649,675,665,803,651,534,464
2005,Hispanic,301,815,825,788,770,747,747,726,729,708,824,680,552,479
2005,Asian/Pacific Islander,43,169,168,168,170,171,170,168,168,169,186,181,173,165
2005,American Indian/Alaska Native,14,43,45,43,42,43,43,45,47,47,56,49,42,38
2007,Total,1081,3609,3750,3704,3659,3624,3600,3628,3700,3709,4200,3863,3557,3375
2007,White,491,1944,2009,2000,1996,1995,1997,2028,2076,2098,2291,2221,2143,2091
2007,Black,224,582,627,623,620,611,600,610,634,642,797,669,564,509
2007,Hispanic,310,863,886,850,821,797,781,769,769,748,868,739,627,560
2007,Asian/Pacific Islander,42,177,184,187,177,177,179,178,177,176,190,186,181,175
2007,American Indian/Alaska Native,14,43,45,44,44,44,43,43,45,45,52,48,42,40
2009,Total,1223,3678,3729,3665,3707,3701,3652,3644,3641,3651,4080,3809,3541,3432
2009,White,556,1932,1952,1924,1960,1978,1977,1984,1995,2021,2188,2116,2034,2022
2009,Black,244,576,600,602,617,617,604,609,604,602,741,656,573,534
2009,Hispanic,351,903,907,876,867,843,819,802,792,779,882,778,689,636
2009,Asian,47,184,191,186,185,188,177,176,179,179,191,187,180,176
2009,Pacific Islander,1,4,4,4,3,4,4,4,4,4,4,4,4,4
2009,American Indian/Alaska Native,18,45,45,44,44,44,45,45,44,44,50,47,42,42
2009,Two or more races2,6,34,31,29,29,27,26,24,23,22,24,21,20,19
2011,Total,1291,3746,3773,3713,3703,3672,3699,3724,3696,3679,3957,3751,3546,3452
2011,White,563,1845,1865,1866,1875,1872,1908,1933,1944,1951,2049,2008,1946,1928
2001,Black,247,566,576,563,571,575,579,595,590,586,670,602,547,526
2011,Hispanic,379,986,981,936,919,896,887,871,850,834,908,823,751,709
2011,Asian,44,164,176,181,181,176,175,177,168,169,182,183,179,174
2011,Pacific Islander,3,14,15,14,14,14,13,13,13,13,14,13,12,11
2011,American Indian/Alaska Native,19,41,40,40,40,40,40,41,42,41,44,41,39,39
2011,Two or more races,37,130,119,112,105,99,96,93,89,84,90,82,72,65
2013,Total,1328,3834,3885,3791,3738,3708,3697,3684,3748,3753,3980,3761,3526,3476
2013,White,577,1828,1861,1832,1831,1851,1863,1864,1912,1934,2018,1960,1884,1886
2013,Black,248,587,605,581,571,558,557,573,588,592,665,597,534,513
2013,Hispanic,392,1038,1039,1008,975,941,927,909,912,892,954,872,792,767
2013,Asian,47,174,178,180,183,187,187,180,180,183,181,183,184,184
2013,Pacific Islander,3,14,14,13,14,14,14,13,13,13,14,13,12,11
2013,American Indian/Alaska Native,17,39,40,39,38,38,38,39,39,40,43,40,36,36
2013,Two or more races,44,154,148,137,125,119,112,106,103,99,105,95,84,79
2015,Total,1402,3713,3768,3842,3869,3793,3733,3731,3732,3719,4019,3846,3598,3537
2015,White,600,1742,1768,1804,1829,1814,1816,1842,1860,1863,1978,1942,1872,1860
2015,Black,263,556,590,598,600,575,558,558,561,569,656,602,542,525
2015,Hispanic,413,1019,1021,1043,1047,1022,987,961,950,937,1018,944,854,827
2015,Asian,54,183,180,189,189,190,191,194,192,188,195,198,185,187
2015,Pacific Islander,3,13,12,13,14,14,14,14,13,13,14,14,13,12
2015,American Indian/Alaska Native,16,37,38,38,38,37,37,38,38,38,41,39,36,36
2015,Two or more races,52,164,159,158,152,142,130,125,118,111,117,107,97,91
2017,Total,1471,3684,3667,3684,3788,3859,3877,3827,3777,3772,3996,3834,3677,3631
2017,White,627,1711,1703,1708,1751,1796,1821,1812,1816,1843,1920,1873,1840,1849
2017,Black,263,539,557,563,592,592,589,576,561,556,622,585,546,536
2017,Hispanic,439,1008,996,1006,1039,1059,1060,1043,1012,990,1058,1000,930,889
2017,Asian,62,199,190,191,191,198,197,196,197,201,206,202,200,202
2017,Pacific Islander,3,13,14,14,13,14,14,14,15,14,15,14,13,13
2017,American Indian/Alaska Native,17,35,35,36,37,37,38,38,37,38,40,38,36,36
2017,Two or more races,59,179,172,167,165,164,158,149,138,131,135,122,112,107
